title,price,location,district,link
1-комнатная квартира · 30.8 м² · 7/9 этаж,7 000 000 〒,Энергетиков 36,,https://krisha.kz/a/show/762256932
2-комнатная квартира · 51 м² · 3 этаж,15 000 000 〒,Мухтар  ауэзова 73,,https://krisha.kz/a/show/683627055
2-комнатная квартира · 47 м² · 4/4 этаж,9 000 000 〒,А.Маргулана 1а,,https://krisha.kz/a/show/761759428
3-комнатная квартира · 59 м² · 5/5 этаж,14 500 000 〒,Момышулы 33 — Ауэзова-Момышулы,,https://krisha.kz/a/show/760890893
4-комнатная квартира · 80 м² · 8/9 этаж,23 700 000 〒,Сатпаева 8/2,,https://krisha.kz/a/show/696164328
1-комнатная квартира · 33.5 м² · 7/9 этаж,5 800 000 〒,Б.Жырау 250,,https://krisha.kz/a/show/1000206669
2-комнатная квартира · 102 м² · 10/10 этаж,18 000 000 〒,Ауезова,,https://krisha.kz/a/show/762256258
1-комнатная квартира · 33 м² · 3/4 этаж,10 500 000 〒,Торайгырова 109,,https://krisha.kz/a/show/761089441
1-комнатная квартира · 40 м² · 4/6 этаж,12 400 000 〒,Ауэзова 101,,https://krisha.kz/a/show/699761289
3-комнатная квартира · 72.9 м² · 2/2 этаж,15 000 000 〒,Ерганата Кошербаева 40А — Средняя образовательная школа №12,,https://krisha.kz/a/show/699110416
2-комнатная квартира · 48 м² · 5/5 этаж,8 000 000 〒,Петренко 11,,https://krisha.kz/a/show/697372859
2-комнатная квартира · 49.9 м² · 1/5 этаж,12 000 000 〒,Ауэзова,,https://krisha.kz/a/show/674467564
3-комнатная квартира · 59 м² · 3/5 этаж,18 000 000 〒,Энергетиков — 19 микрорайон,,https://krisha.kz/a/show/1000206998
3-комнатная квартира · 65 м² · 5/5 этаж,16 000 000 〒,"Машхур Жусупа — Район Достык, Саламат",Саламат,https://krisha.kz/a/show/683177027
2-комнатная квартира · 50 м² · 2/5 этаж,14 000 000 〒,Бауржан момышулы 52,,https://krisha.kz/a/show/1000426169
3-комнатная квартира · 69.9 м² · 8/9 этаж,22 000 000 〒,М-Жусупа 72А,,https://krisha.kz/a/show/698901441
1-комнатная квартира · 34.8 м² · 5/6 этаж,9 500 000 〒,Ауэзова 97,,https://krisha.kz/a/show/761425772
5-комнатная квартира · 99.7 м² · 2/9 этаж,32 500 000 〒,Машхур Жусупа 48,,https://krisha.kz/a/show/693059679
2-комнатная квартира · 49 м² · 2/5 этаж,11 500 000 〒,Машхур Жусип 107,,https://krisha.kz/a/show/698516343
2-комнатная квартира · 51 м² · 2/5 этаж,5 000 000 〒,П .Солнечный Достык 5,,https://krisha.kz/a/show/1000425422
3-комнатная квартира · 60 м² · 1/5 этаж,17 000 000 〒,Горняков — Горняков Строительная,,https://krisha.kz/a/show/688622543
2-комнатная квартира · 74.7 м² · 1/3 этаж,17 000 000 〒,Г.Сагиденова 10 — Возле Акку - клуба,,https://krisha.kz/a/show/695697968
2-комнатная квартира · 50.4 м² · 1/5 этаж,9 500 000 〒,Ломоносова 23а,,https://krisha.kz/a/show/678415240
4-комнатная квартира · 84 м² · 2/4 этаж,20 500 000 〒,Автобазовский,,https://krisha.kz/a/show/693152193
2-комнатная квартира · 50 м² · 5/5 этаж,9 200 000 〒,Шешембекова — Парк шахтер,,https://krisha.kz/a/show/762073442
3-комнатная квартира · 57 м² · 3/5 этаж,10 800 000 〒,Молдагуловой 47/5 — Стадион Шахтёр,,https://krisha.kz/a/show/678219924
2-комнатная квартира · 50 м² · 2/5 этаж,15 000 000 〒,Абая — Первой школы,,https://krisha.kz/a/show/762271427
2-комнатная квартира · 48 м² · 1/5 этаж,11 500 000 〒,Беркембаева 180,,https://krisha.kz/a/show/761044849
1-комнатная квартира · 30 м² · 3/5 этаж,7 500 000 〒,Королева — Королева,,https://krisha.kz/a/show/698967587
3-комнатная квартира · 66.5 м² · 1/9 этаж,18 500 000 〒,Ауэзова,,https://krisha.kz/a/show/684374343
3-комнатная квартира · 66.4 м² · 4/9 этаж,19 000 000 〒,Машхур Жусупа 109 — Машхур жусупа - торайгырова,,https://krisha.kz/a/show/693635409
4-комнатная квартира · 62.7 м² · 4/5 этаж,15 000 000 〒,Пшенбаева 14,,https://krisha.kz/a/show/760824864
3-комнатная квартира · 65 м² · 8/9 этаж,18 500 000 〒,Абая 49/2,,https://krisha.kz/a/show/693136175
4-комнатная квартира · 63 м² · 5/5 этаж,10 500 000 〒,Алия Молдагулова 48Б,,https://krisha.kz/a/show/694395595
3-комнатная квартира · 78.8 м² · 2/2 этаж,16 500 000 〒,Царева 15 — Горняков,,https://krisha.kz/a/show/696677960
3-комнатная квартира · 65 м² · 3/6 этаж,19 000 000 〒,Шакарим 1 — Парка,,https://krisha.kz/a/show/760979731
2-комнатная квартира · 49.4 м² · 2/5 этаж,15 500 000 〒,Шешембекова 15 — Парк «Шахтер»,,https://krisha.kz/a/show/761228791
1-комнатная квартира · 30.5 м² · 3/5 этаж,10 000 000 〒,Ауэзова 36 — Напротив ДБ Мечта,,https://krisha.kz/a/show/761535377
2-комнатная квартира · 47.2 м² · 2/5 этаж,15 000 000 〒,Сатпаева — Пирамиса,,https://krisha.kz/a/show/760295486
2-комнатная квартира · 42 м² · 3/5 этаж,11 500 000 〒,Машхур Жусупа,,https://krisha.kz/a/show/761619006
3-комнатная квартира · 55.5 м² · 5/5 этаж,12 000 000 〒,Энергетиков 67,,https://krisha.kz/a/show/762252729
3-комнатная квартира · 67 м² · 5/5 этаж,17 000 000 〒,Новоселова,,https://krisha.kz/a/show/675563848
3-комнатная квартира · 91.5 м² · 1/2 этаж,14 000 000 〒,Царева 15,,https://krisha.kz/a/show/761658703
2-комнатная квартира · 51 м² · 2/5 этаж,11 000 000 〒,Беркимбаева 180 — 22 остановка Мечит,,https://krisha.kz/a/show/1000203161
2-комнатная квартира · 51 м² · 2/5 этаж,10 500 000 〒,Беркимбаева 180 — Мечит 22 остановка,,https://krisha.kz/a/show/1000203265
2-комнатная квартира · 50 м² · 5/5 этаж,11 000 000 〒,К. Сатпаева 22 — Абая- Сатпаева,,https://krisha.kz/a/show/695215902
4-комнатная квартира · 84 м² · 3/6 этаж,18 000 000 〒,Беркимбаева — Сатпаева на Беркимбаева,,https://krisha.kz/a/show/761323114
2-комнатная квартира · 48 м² · 5/5 этаж,11 000 000 〒,Пшенбаева 27,,https://krisha.kz/a/show/760835717
1-комнатная квартира · 33 м² · 1/6 этаж,7 900 000 〒,Шакарима 3,,https://krisha.kz/a/show/699618514
2-комнатная квартира · 46 м² · 2/5 этаж,12 000 000 〒,Западная 46,,https://krisha.kz/a/show/762251504
2-комнатная квартира · 45.9 м² · 2/5 этаж,9 000 000 〒,Энергетиков 40А — 15 мкр возле кофе Астана,,https://krisha.kz/a/show/684316543
4-комнатная квартира · 78 м² · 1/5 этаж,25 000 000 〒,Торайгырова — Торговый дом “Шахтер”,,https://krisha.kz/a/show/699314946
2-комнатная квартира · 52 м² · 2/10 этаж,16 000 000 〒,Машхур Жусупа 52/5,,https://krisha.kz/a/show/1000219327
3-комнатная квартира · 66.7 м² · 2/9 этаж,28 000 000 〒,Машхур жусуп 68,,https://krisha.kz/a/show/698318520
1-комнатная квартира · 30 м² · 3/5 этаж,6 500 000 〒,Беркембаева 168 — 22- мкр,,https://krisha.kz/a/show/761452223
3-комнатная квартира · 70 м² · 1/2 этаж,14 000 000 〒,Бухар жырау 276а — Где 31 магазин,,https://krisha.kz/a/show/762268074
4-комнатная квартира · 74 м² · 2/5 этаж,20 000 000 〒,Энергетиктер 42 А,,https://krisha.kz/a/show/691899371
1-комнатная квартира · 30 м² · 1/5 этаж,7 500 000 〒,Беркимбаева 182,,https://krisha.kz/a/show/762288463
1-комнатная квартира · 41.1 м² · 4/4 этаж,10 000 000 〒,Абая 133а — 168 квартал. Возле ресторана Савой ближе к магазину Батыр,,https://krisha.kz/a/show/761716694
3-комнатная квартира · 81.6 м² · 1/5 этаж,21 000 000 〒,Маметова 54/2 — На против роддома,,https://krisha.kz/a/show/761419926
4-комнатная квартира · 150 м² · 1/2 этаж,42 000 000 〒,Сатпаева 24,,https://krisha.kz/a/show/691040011
2-комнатная квартира · 50 м² · 3/3 этаж,10 500 000 〒,Бауыржана Момышулы 49Б — Сзади Народного банка по Строительной,,https://krisha.kz/a/show/692533945
3-комнатная квартира · 68 м² · 8/9 этаж,16 700 000 〒,Машхур Жусупа 58/1,,https://krisha.kz/a/show/696959255
4-комнатная квартира · 80 м² · 8/10 этаж,25 500 000 〒,Машхур Жусупа 52/5 — Находится рядом с 26 школой,,https://krisha.kz/a/show/760412109
2-комнатная квартира · 45 м² · 1/5 этаж,7 500 000 〒,Мухтар Ауэзова 2 — Район 5 школы,,https://krisha.kz/a/show/760410571
3-комнатная квартира · 65 м² · 8/9 этаж,16 500 000 〒,Абая 72,,https://krisha.kz/a/show/680389064
2-комнатная квартира · 43 м² · 5/5 этаж,8 000 000 〒,Горняков 16А,,https://krisha.kz/a/show/697816904
2-комнатная квартира · 51 м² · 1/6 этаж,12 000 000 〒,Бухар жырау — Гоголя,,https://krisha.kz/a/show/678166516
2-комнатная квартира · 52.9 м² · 5/5 этаж,7 800 000 〒,Машхур жусупа 157,,https://krisha.kz/a/show/761216433
2-комнатная квартира · 53 м² · 1 этаж,8 900 000 〒,Целинная 1 — Возле 17 СШ,,https://krisha.kz/a/show/688374703
3-комнатная квартира · 79 м² · 2/2 этаж,15 000 000 〒,Бауыржана Момышулы 12,,https://krisha.kz/a/show/1000419510
4-комнатная квартира · 76 м² · 7/10 этаж,23 000 000 〒,Машһур Жүсіпа 52,,https://krisha.kz/a/show/690628640
3-комнатная квартира · 63.2 м² · 1/5 этаж,14 500 000 〒,Б.Момышулы 76,,https://krisha.kz/a/show/698835156
4-комнатная квартира · 77 м² · 3/5 этаж,15 000 000 〒,Ломоносова — Ломоносова - Абая,,https://krisha.kz/a/show/697044965
3-комнатная квартира · 59 м² · 2/5 этаж,15 000 000 〒,Ерганата Кошербаева 60а — Кегок,,https://krisha.kz/a/show/761243988
2-комнатная квартира · 40 м² · 5/5 этаж,7 500 000 〒,Энергетиков 46 в,,https://krisha.kz/a/show/689027413
4-комнатная квартира · 64 м² · 2/5 этаж,18 000 000 〒,Абая — Первой школы,,https://krisha.kz/a/show/1000418699
2-комнатная квартира · 47.1 м² · 1/2 этаж,7 300 000 〒,Машхур Жусупа 7,,https://krisha.kz/a/show/1000418456
3-комнатная квартира · 56 м² · 5/5 этаж,13 000 000 〒,Энергетиков 103а,,https://krisha.kz/a/show/686794979
3-комнатная квартира · 66.8 м² · 3/9 этаж,21 000 000 〒,"Беркимбаева 90 — Отрар,гринвич",гринвич,https://krisha.kz/a/show/760855927
2-комнатная квартира · 48 м² · 1/5 этаж,8 590 000 〒,Ломоносова,,https://krisha.kz/a/show/683455074
2-комнатная квартира · 53.7 м² · 8/9 этаж,15 000 000 〒,Ауэзова 47,,https://krisha.kz/a/show/698852015
3-комнатная квартира · 99 м² · 5/5 этаж,20 000 000 〒,Сатпаева 13,,https://krisha.kz/a/show/699749390
2-комнатная квартира · 42 м² · 3/5 этаж,11 700 000 〒,М.Жусупа 75,,https://krisha.kz/a/show/698418087
4-комнатная квартира · 92 м² · 7/9 этаж,27 000 000 〒,Жусупа 47,,https://krisha.kz/a/show/760607569
1-комнатная квартира · 38.4 м² · 5/5 этаж,8 500 000 〒,Энергетиков 107,,https://krisha.kz/a/show/761008704
3-комнатная квартира · 61 м² · 2/5 этаж,14 500 000 〒,Ломоносова 21А,,https://krisha.kz/a/show/760008859
2-комнатная квартира · 42.3 м² · 1/5 этаж,9 300 000 〒,Беркимбаева 166,,https://krisha.kz/a/show/699764446
1-комнатная квартира · 29 м² · 5/5 этаж,9 500 000 〒,Беркимбаева 182 А,,https://krisha.kz/a/show/699764791
2-комнатная квартира · 50.4 м² · 1/5 этаж,9 500 000 〒,Ломоносова 23а — Ломоносова Пшенбаева,,https://krisha.kz/a/show/696812482
4-комнатная квартира · 63 м² · 5/5 этаж,12 500 000 〒,Ауэзова 36 — УАК,,https://krisha.kz/a/show/696782359
3-комнатная квартира · 55.6 м² · 2/5 этаж,14 800 000 〒,Машхур жусупа 28,,https://krisha.kz/a/show/1000417926
2-комнатная квартира · 46.2 м² · 2/5 этаж,9 000 000 〒,Ауэзова 4,,https://krisha.kz/a/show/761010288
3-комнатная квартира · 57.9 м² · 5/5 этаж,16 300 000 〒,Ауэзова 63/3,,https://krisha.kz/a/show/760616582
3-комнатная квартира · 58.1 м² · 5/5 этаж,14 500 000 〒,Энергетиков 75 — 19 мкр,,https://krisha.kz/a/show/697384277
1-комнатная квартира · 34 м² · 6/6 этаж,7 000 000 〒,Шакарим 1,,https://krisha.kz/a/show/696483621
4-комнатная квартира · 85.5 м² · 4/5 этаж,21 000 000 〒,Королева 76А — Возле Ауезова 165,,https://krisha.kz/a/show/683579123
3-комнатная квартира · 57.2 м² · 5/5 этаж,8 500 000 〒,Алии Молдагуловой,,https://krisha.kz/a/show/699360779
2-комнатная квартира · 48.7 м² · 5/5 этаж,9 100 000 〒,Мухтара Ауэзова 28,,https://krisha.kz/a/show/1000417372
2-комнатная квартира · 50 м² · 6/9 этаж,13 500 000 〒,Ауэзова,,https://krisha.kz/a/show/760450504
